"Объект трансформирования";"Поле объекта";Примечание;GPT-Сервис;"Креативность (temperature)";"Текст запроса к ИИ"
catalog-product;meta_keywords;;0;0.8;"Сгенерируй 10 ключевых слов, разделенных пробелом, для мета-тега keywords, основываясь на названии товара: &#039;{$product.title}&#039;. Слова должны быть релевантными и отражать основные характеристики товара."
catalog-product;meta_title;;0;0.8;"Доработай название товара &#039;{$product.title}&#039; для HTML-тега title так, чтобы оно соответствовало тому, как обычно ищут данный товар в поиске. Новое название должно быть схоже с оригинальным названием."
catalog-product;meta_description;;0;0.8;"Придумай описание для мета-тега description для товара &#039;{$product.title}&#039;, чтобы оно соответствовало основным свойствам товара.[Опирайся на текст &#039;{$product.short_description}&#039; [или на текст {$product.description}]]"
catalog-product;short_description;;0;0.8;"Придумай короткое описание, до 500 знаков, для товара `{$product.title}`."
catalog-product;description;;0;0.8;"Придумай описание для товара `{$product.title}`"
article-article;content;;0;0.8;"Придумай текст статьи, который подробно распишет суть следующего заголовка &#039;{$article.title}&#039;."
article-article;short_content;;0;0.8;"Придумай текст для сниппета статьи с заголовком &#039;{$article.title}&#039;.[Опираясь на текст: {$article.content}]"
article-article;meta_title;;0;0.8;"Придумай содержимое тега title для статьи с заголовком &#039;{$article.title}&#039;."
catalog-dir;description;;0;0.8;"Придумай описание для категории товаров &#039;{$dir.name}&#039;"
catalog-dir;meta_title;;0;0.8;"Придумай содержимое тега title для категории с заголовком &#039;{$dir.name}&#039;."
article-article;meta_keywords;;0;0.8;"Сгенерируй 10 ключевых слов, разделенных пробелом, для мета-тега keywords, основываясь на названии статьи: &#039;{$article.title}&#039;. Слова должны быть релевантными и отражать суть статьи.[Содержание статьи: {$article.content}.]"
article-article;meta_description;;0;0.8;"Напиши описание для мета-тега description для статьи &#039;{$article.title}&#039;, чтобы оно соответствовало содержанию статьи.[Опирайся на текст &#039;{$article.content}&#039; [или на текст {$article.short_content}]]"
catalog-dir;meta_keywords;;0;0.8;"Придумай 10 ключевых слов, разделенных пробелом, для мета-тега keywords, основываясь на названии категории товаров: &#039;{$dir.name}&#039;. Слова должны быть релевантными и отражать суть категории.[Описание категории: {$dir.description}.]"
catalog-dir;meta_description;;0;0.8;"Напиши описание для мета-тега description для категории товаров &#039;{$dir.name}&#039;, чтобы оно соответствовало сути содержащихся в категории товаров. [Опирайся на описание категории: {$dir.description}.]"
menu-menu;content;;0;0.8;"Придумай текст статьи для пункта меню &#039;{$menu.title}&#039;. Подробно раскрой тему."
support-topic;message;"Ответить по существу";0;0.8;"Ты - специалист поддержки. Напиши ответ по существу для следующей переписки с Клиентом: &#039;{$messages.all}&#039;"
support-topic;message;Отказать;0;0.8;"Ты - специалист поддержки. Напиши, что к сожалению, мы не предоставляем такую услугу или не работаем в запрошенное время или ничего не можем сделать в ситуации описанной клиентом для следующей переписки c Клиентом: &#039;{$messages.all}&#039;"
